Timestamp,Corrected Temperature (C),Raw Temperature (C),CPU Temperature (C)
2025-03-29 16:13:41,31.505552517700195,42.5904426574707,58.426
2025-03-29 16:13:42,31.22978122558594,42.628753662109375,58.913
2025-03-29 16:13:43,31.570681225585936,42.628753662109375,58.426
2025-03-29 16:13:44,32.62594233703613,42.64790725708008,56.965
2025-03-29 16:13:45,31.944142337036133,42.64790725708008,57.939
2025-03-29 16:13:46,32.04183215637207,42.70537185668945,57.939
2025-03-29 16:13:47,31.099523809814457,42.55213165283203,58.913
2025-03-29 16:13:48,32.106960864257815,42.743682861328125,57.939
2025-03-29 16:13:49,32.31760344848633,42.66706085205078,57.452
2025-03-29 16:13:50,32.39800158691406,42.513824462890625,56.965
2025-03-29 16:13:51,32.62594233703613,42.64790725708008,56.965
2025-03-29 16:13:52,32.31760344848633,42.66706085205078,57.452
2025-03-29 16:13:53,32.78876086425781,42.743682861328125,56.965
2025-03-29 16:13:54,32.04183215637207,42.70537185668945,57.939
2025-03-29 16:13:55,31.70093215637207,42.70537185668945,58.426
2025-03-29 16:13:56,32.074393267822266,42.724525451660156,57.939
2025-03-29 16:13:57,30.986571044921877,42.68621826171875,59.4
2025-03-29 16:13:58,31.570681225585936,42.628753662109375,58.426
2025-03-29 16:13:59,31.099523809814457,42.55213165283203,58.913
2025-03-29 16:14:00,31.22978122558594,42.628753662109375,58.913
2025-03-29 16:14:01,32.21991362915039,42.609596252441406,57.452
2025-03-29 16:14:02,31.81389140625,42.5712890625,57.939
2025-03-29 16:14:03,32.1873525177002,42.5904426574707,57.452
2025-03-29 16:14:04,32.25248122558594,42.628753662109375,57.452
2025-03-29 16:14:05,31.79862197570801,42.76283645629883,58.426
2025-03-29 16:14:06,31.879013629150393,42.609596252441406,57.939
2025-03-29 16:14:07,31.781323809814452,42.55213165283203,57.939
2025-03-29 16:14:08,32.30031176757812,42.45635986328125,56.965
2025-03-29 16:14:09,31.991979364013673,42.47551727294922,57.452
2025-03-29 16:14:10,32.31760344848633,42.66706085205078,57.452
2025-03-29 16:14:11,32.31760344848633,42.66706085205078,57.452
2025-03-29 16:14:12,32.106960864257815,42.743682861328125,57.939
2025-03-29 16:14:13,31.716201586914064,42.513824462890625,57.939
2025-03-29 16:14:14,31.034401586914065,42.513824462890625,58.913
2025-03-29 16:14:15,31.375301586914063,42.513824462890625,58.426
2025-03-29 16:14:16,31.132091406250005,42.5712890625,58.913
2025-03-29 16:14:17,32.08966918334961,42.532981872558594,57.452
2025-03-29 16:14:18,31.505552517700195,42.5904426574707,58.426
2025-03-29 16:14:20,31.879013629150393,42.609596252441406,57.939
2025-03-29 16:14:21,32.56081362915039,42.609596252441406,56.965
2025-03-29 16:14:22,31.879013629150393,42.609596252441406,57.939
2025-03-29 16:14:23,31.846452517700197,42.5904426574707,57.939
2025-03-29 16:14:24,31.538113629150388,42.609596252441406,58.426
2025-03-29 16:14:25,32.057101586914065,42.513824462890625,57.452
2025-03-29 16:14:26,32.31760344848633,42.66706085205078,57.452
2025-03-29 16:14:27,31.716201586914064,42.513824462890625,57.939
2025-03-29 16:14:28,32.70633399047851,42.494667053222656,56.478
2025-03-29 16:14:29,32.83659140625,42.5712890625,56.478
2025-03-29 16:14:30,32.46312380981445,42.55213165283203,56.965
2025-03-29 16:14:31,32.08966918334961,42.532981872558594,57.452
2025-03-29 16:14:32,31.879013629150393,42.609596252441406,57.939
2025-03-29 16:14:33,31.74876918334961,42.532981872558594,57.939
2025-03-29 16:14:34,32.64121176757813,42.45635986328125,56.478
2025-03-29 16:14:35,32.02453399047852,42.494667053222656,57.452
2025-03-29 16:14:36,32.21991362915039,42.609596252441406,57.452
2025-03-29 16:14:37,32.20262194824218,42.398895263671875,56.965
2025-03-29 16:14:38,32.00724230957031,42.283966064453125,56.965
2025-03-29 16:14:39,31.58594417114258,42.43720245361328,57.939
2025-03-29 16:14:40,31.666342309570314,42.283966064453125,57.452
2025-03-29 16:14:41,31.894289544677736,42.418052673339844,57.452
2025-03-29 16:14:42,31.974681198120116,42.26481246948242,56.965
2025-03-29 16:14:43,31.909552490234375,42.22650146484375,56.965
2025-03-29 16:14:44,32.10493212890625,42.3414306640625,56.965
2025-03-29 16:14:45,31.7965997253418,42.36058807373047,57.452
2025-03-29 16:14:46,32.65648119812012,42.26481246948242,55.991
2025-03-29 16:14:47,32.1374997253418,42.36058807373047,56.965
2025-03-29 16:14:48,31.974681198120116,42.26481246948242,56.965
2025-03-29 16:14:49,32.00724230957031,42.283966064453125,56.965
2025-03-29 16:14:50,32.413271017456054,42.3222770690918,56.478
2025-03-29 16:14:51,32.12020155944824,42.14988327026367,56.478
2025-03-29 16:14:52,32.65648119812012,42.26481246948242,55.991
2025-03-29 16:14:53,31.63378119812012,42.26481246948242,57.452
2025-03-29 16:14:54,32.315581198120114,42.26481246948242,56.478
2025-03-29 16:14:55,32.17005435180664,42.379737854003906,56.965
2025-03-29 16:14:56,31.470962670898437,42.169036865234375,57.452
2025-03-29 16:14:57,31.876991378784176,42.20734786987305,56.965
2025-03-29 16:14:58,32.59135249023438,42.22650146484375,55.991
2025-03-29 16:14:59,31.844430267333983,42.188194274902344,56.965
2025-03-29 16:15:00,32.413271017456054,42.3222770690918,56.478
2025-03-29 16:15:01,32.78673212890625,42.3414306640625,55.991
2025-03-29 16:15:02,31.974681198120116,42.26481246948242,56.965
2025-03-29 16:15:03,31.568652490234378,42.22650146484375,57.452
2025-03-29 16:15:04,32.02251174011231,42.0924186706543,56.478
